Time    ,EPEL_TT ,EPPL_TT ,EPTO_TT ,EPEL_ZZ ,EPPL_ZZ ,EPTO_ZZ ,EPEL_TZ ,EPPL_TZ ,EPTO_TZ ,EPEL_RR ,EPPL_RR ,EPTO_RR ,S_TT    ,S_ZZ    ,S_TZ    ,S_EQV   ,EPPL_EQV,NL_EPEQ 
 0.1000000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
 0.1010000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.7500000E-06, 0.0000000E+00, 0.7500000E-06, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.3214286E-06, 0.0000000E+00,-0.3214286E-06, 0.5068681E-01, 0.1689560E+00, 0.0000000E+00, 0.1501714E+00, 0.0000000E+00, 0.0000000E+00
 0.1020000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1500000E-05, 0.0000000E+00, 0.1500000E-05, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.6428571E-06, 0.0000000E+00,-0.6428571E-06, 0.1013736E+00, 0.3379121E+00, 0.0000000E+00, 0.3003428E+00, 0.0000000E+00, 0.0000000E+00
 0.1035000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.2625000E-05, 0.0000000E+00, 0.2625000E-05, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1125000E-05, 0.0000000E+00,-0.1125000E-05, 0.1774039E+00, 0.5913461E+00, 0.0000000E+00, 0.5255999E+00, 0.0000000E+00, 0.0000000E+00
 0.1057500E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.4312500E-05, 0.0000000E+00, 0.4312500E-05, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1848214E-05, 0.0000000E+00,-0.1848214E-05, 0.2914492E+00, 0.9714972E+00, 0.0000000E+00, 0.8634856E+00, 0.0000000E+00, 0.0000000E+00
 0.1091250E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.6843750E-05, 0.0000000E+00, 0.6843750E-05, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.2933036E-05, 0.0000000E+00,-0.2933036E-05, 0.4625172E+00, 0.1541724E+01, 0.0000000E+00, 0.1370314E+01, 0.0000000E+00, 0.0000000E+00
 0.1141875E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1064063E-04, 0.0000000E+00, 0.1064063E-04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.4560268E-05, 0.0000000E+00,-0.4560268E-05, 0.7191192E+00, 0.2397064E+01, 0.0000000E+00, 0.2130557E+01, 0.0000000E+00, 0.0000000E+00
 0.1217812E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1633594E-04, 0.0000000E+00, 0.1633594E-04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.7001116E-05, 0.0000000E+00,-0.7001116E-05, 0.1104022E+01, 0.3680074E+01, 0.0000000E+00, 0.3270921E+01, 0.0000000E+00, 0.0000000E+00
 0.1317812E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.2383594E-04, 0.0000000E+00, 0.2383594E-04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1021540E-04, 0.0000000E+00,-0.1021540E-04, 0.1610890E+01, 0.5369634E+01, 0.0000000E+00, 0.4772635E+01, 0.0000000E+00, 0.0000000E+00
 0.1417812E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.3133594E-04, 0.0000000E+00, 0.3133594E-04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1342969E-04, 0.0000000E+00,-0.1342969E-04, 0.2117759E+01, 0.7059195E+01, 0.0000000E+00, 0.6274349E+01, 0.0000000E+00, 0.0000000E+00
